Toute	O
recherche	O
historiographique	O
s’articule	O
sur	O
un	O
lieu	O
de	O
production	O
socio-économique,	O
politique	O
et	O
culturel.	O
Elle	O
implique	O
un	O
milieu	O
d’élaboration	O
que	O
circonscrivent	O
des	O
déterminations	O
propres	O
:	O
une	O
profession	O
libérale,	O
un	O
poste	O
d’observation	O
ou	O
d’enseignement,	B-MISC
une	I-MISC
catégorie	I-MISC
de	I-MISC
lettrés,	L-MISC
etc.	O
Elle	O
est	O
donc	O
soumise	O
à	O
des	O
contraintes,	O
liée	O
à	O
des	O
privilèges,	O
enracinée	O
dans	O
une	O
particularité.	O
C’est	O
en	O
fonction	O
de	O
cette	O
place	O
que	O
des	O
méthodes	O
s’instaurent,	O
qu’une	O
topographie	O
d’intérêts	O
se	O
précise,	O
que	O
des	O
dossiers	O
et	O
des	O
questions	O
à	O
poser	O
aux	O
documents	O
s’organisent	O
Certeau,	U-LOC
1975,	O
p.	O
65.	O
.	O
Cette	O
proposition	O
de	O
Michel	B-PER
de	I-PER
Certeau	L-PER
,	O
que	O
nous	O
pourrions,	O
au-delà	O
de	O
l’historiographie,	O
appliquer	O
à	O
bien	O
d’autres	O
champs	O
de	O
savoir,	O
invite	O
à	O
mettre	O
en	O
abyme,	O
dans	O
le	O
miroir	O
de	O
la	O
réflexivité,	O
le	O
projet	O
de	O
ce	O
volume	O
et	O
les	O
conditions	O
de	O
sa	O
réalisation.	O
Quel	U-LOC
est	O
le	O
lieu	O
des	O
Lieux	U-LOC
de	O
savoir	O
?	O
La	O
genèse	O
de	O
ce	O
livre	O
a	O
été	O
portée	O
par	O
un	O
réseau	O
de	O
chercheurs	O
français	O
et	O
étrangers	O
qui,	O
au	O
fil	O
de	O
son	O
institutionnalisation	O
Reconnu	U-MISC
en	O
1997	O
par	O
le	O
Centre	B-ORG
national	I-ORG
de	I-ORG
la	I-ORG
recherche	I-ORG
scientifique	L-ORG
(CNRS),	O
dans	O
le	O
cadre	O
du	O
programme	O
«	O
Archives	B-MISC
de	I-MISC
la	I-MISC
création	L-MISC
»,	U-LOC
le	O
réseau	O
«	O
Les	O
mondes	O
lettrés	O
»	O
est	O
devenu	O
un	O
Groupement	U-ORG
de	O
recherche	O
(GDR)	O
en	O
2002,	O
puis	O
un	O
Groupement	U-ORG
de	O
recherche	O
international	O
(GDRI)	O
en	O
2004.	O
,	O
est	O
resté	O
une	O
structure	O
ouverte,	O
transversale,	O
interdisciplinaire	O
et	O
internationale,	O
sans	O
exclusive	O
d’ordre	O
idéologique	O
ou	O
épistémologique.	O
Le	B-ORG
Groupement	L-ORG
«	O
Les	O
mondes	O
lettrés	O
»	O
réunit	O
en	O
effet	O
des	O
praticiens	O
de	O
la	O
recherche	O
dans	O
les	O
humanités	O
et	O
les	O
sciences	O
humaines,	O
qui	O
partagent	O
une	O
activité	O
empirique	O
:	O
lecture,	O
édition,	O
commentaire,	O
exploration	O
de	O
corpus	O
de	O
sources,	O
de	O
situations	O
historiques	O
ou	O
de	O
domaines	O
disciplinaires.	O
Le	O
croisement	O
de	O
ces	O
recherches	O
a	O
permis	O
la	O
construction	O
d’un	O
champ	O
:	O
l’histoire	O
et	O
l’anthropologie	B-MISC
des	I-MISC
pratiques	I-MISC
intellectuelles	I-MISC
et	I-MISC
des	I-MISC
traditions	I-MISC
de	I-MISC
savoir.	L-MISC
Ce	O
premier	O
volume	O
des	O
Lieux	U-LOC
de	O
savoir,	O
fruit	O
de	O
plusieurs	O
années	O
de	O
travail	O
sous	O
forme	O
de	O
séminaires,	O
de	O
journées	O
d’études,	O
de	O
publications	O
d’étape	O
Voir	O
en	O
particulier	O
Baratin	U-MISC
et	O
Jacob,	B-MISC
1996	L-MISC
;	O
Giard	U-ORG
et	O
Jacob,	B-MISC
2001	L-MISC
;	O
Jacob,	U-MISC
2003.	O
et	O
d’un	O
think	O
tank	O
électronique,	O
voudrait	O
être	O
le	O
livre-laboratoire	O
de	O
ce	O
réseau,	O
accessible	O
à	O
tous	O
les	O
lecteurs	O
curieux	O
de	O
la	O
nature	O
et	O
de	O
l’histoire	O
des	O
savoirs,	O
dans	O
leur	O
infinie	O
déclinaison	O
morphologique	O
et	O
culturelle,	O
comme	O
aux	O
chercheurs	O
qui	O
les	O
étudient	O
pour	O
les	O
reconstituer,	O
les	O
comprendre	O
ou	O
les	O
préserver,	O
ou	O
aux	O
praticiens	O
à	O
l’œuvre	O
en	O
ce	O
temps	O
de	O
mutations	O
dans	O
les	O
champs	O
de	O
l’écrit,	O
de	O
la	O
communication	O
et	O
de	O
la	O
technique.	O
Ni	B-MISC
lieu	I-MISC
disciplinaire	I-MISC
ni	I-MISC
livre	I-MISC
encyclopédique,	I-MISC
ce	I-MISC
laboratoire	L-MISC
virtuel	O
reflète	O
l’état	O
de	O
la	O
recherche	O
en	O
histoire	O
et	O
en	O
anthropologie	O
des	O
savoirs,	O
mais	O
il	O
veut	O
dépasser	O
les	O
clivages	O
des	O
spécialités	O
pour	O
mettre	O
en	O
évidence	O
des	O
objets,	O
des	O
mécanismes,	O
des	O
dynamiques,	O
des	O
phénomènes,	O
des	O
scénarios	O
qui,	O
inscrits	O
dans	O
la	O
spécificité	O
de	O
situations	O
historiques	O
et	O
culturelles,	O
sont	O
en	O
même	O
temps	O
investis	O
d’une	O
valeur	O
paradigmatique,	O
se	O
prêtant	O
à	O
des	O
opérations	O
critiques	O
et	O
réflexives	O
:	O
sur	O
les	O
sources,	O
sur	O
les	O
méthodes	O
et	O
les	O
approches	O
possibles	O
de	O
leur	O
exploitation,	O
sur	O
les	O
latitudes	O
de	O
généralisation	O
et	O
de	O
transposabilité,	O
sur	O
les	O
liens	O
entre	O
l’événement	O
et	O
la	O
structure,	O
sur	O
les	O
concepts	O
opératoires	O
et	O
les	O
schémas	O
d’explication.	O
Dans	O
ce	O
laboratoire,	O
l’historien	O
des	O
sciences	O
comme	O
l’orientaliste,	O
le	O
classiciste	O
comme	O
le	O
sinologue,	O
l’anthropologue	O
comme	O
le	O
philologue	O
confrontent	O
leurs	O
expériences	O
propres,	O
comparent	O
leurs	O
échantillons	O
et	O
leurs	O
instruments,	O
explicitent	O
les	O
réglages	O
et	O
les	O
protocoles	O
de	O
l’interprétation	O
des	O
sources,	O
reviennent	O
à	O
la	O
matérialité	O
même	O
des	O
situations	O
et	O
des	O
objets.	O
L’œuvre	O
monumentale	O
des	O
Lieux	U-LOC
de	O
mémoire,	O
publiée	O
sous	O
la	O
direction	O
de	O
Pierre	B-PER
Nora,	L-PER
de	O
1984	O
à	O
1992,	O
a	O
fondé	O
une	O
nouvelle	O
approche	O
de	O
l’histoire	O
de	O
la	O
République,	B-LOC
de	I-LOC
la	I-LOC
Nation	L-LOC
et	O
de	O
la	B-LOC
France	L-LOC
,	O
déployant	O
un	O
continuum	O
où	O
la	O
matérialité	O
des	O
objets,	O
des	O
gestes	O
et	O
des	O
monuments	O
conduisait,	O
par	O
paliers	O
successifs,	O
à	O
une	O
compréhension	O
inédite	O
des	O
discours	O
les	O
plus	O
articulés	O
et	O
des	O
représentations	O
fondatrices	O
d’une	O
identité	O
partagée.	O
Les	B-MISC
Lieux	I-MISC
de	I-MISC
mémoire,	L-MISC
par	O
leur	O
retentissement	O
international	O
comme	O
par	O
leur	O
impact	O
sur	O
la	O
redéfinition	O
du	O
champ	O
et	O
des	O
objets	O
de	O
la	O
recherche	O
historique,	O
ont	O
profondément	O
marqué	O
la	O
génération	O
à	O
laquelle	O
appartient	O
le	O
maître	O
d’œuvre	O
du	O
présent	O
ouvrage.	O
Si	U-MISC
le	O
projet	O
des	O
Lieux	O
de	O
savoir	O
reprend	O
les	O
principes	O
du	O
plan	O
thématique	O
réparti	O
sur	O
plusieurs	O
volumes	O
et	O
du	O
découpage	O
des	O
champs	O
selon	O
leurs	O
articulations	O
et	O
leurs	O
niveaux,	O
il	O
se	O
différencie	O
des	O
Lieux	U-LOC
de	O
mémoire	O
tant	O
par	O
les	O
conditions	O
de	O
sa	O
genèse,	O
portée	O
par	O
un	O
collectif	O
de	O
chercheurs,	O
que	O
par	O
sa	O
visée	O
expérimentale,	O
soucieuse	O
d’élargir	O
les	O
questionnements	O
aux	O
disciplines	O
d’érudition	O
et	O
de	O
sciences	O
humaines.	O
Les	B-MISC
Lieux	I-MISC
de	I-MISC
savoir	L-MISC
visent	O
moins	O
à	O
constituer	O
une	O
somme	O
qu’à	O
ouvrir	O
une	O
voie	O
:	O
les	O
praticiens	O
de	O
la	O
recherche	O
sont	O
appelés	O
à	O
unir	O
leurs	O
forces	O
et	O
leurs	O
ressources	O
pour	O
construire	O
dans	O
toute	O
leur	O
complexité	O
théorique	O
les	O
objets	O
et	O
les	O
problèmes	O
qu’ils	O
rencontrent	O
dans	O
leurs	O
champs	O
respectifs,	O
et	O
ce	O
en	O
associant	O
l’approche	O
comparatiste	O
et	O
l’ouverture	O
interdisciplinaire.	O
Il	O
ne	O
s’agit	O
pas	O
de	O
reconstruire	O
la	O
généalogie	O
et	O
l’architecture	O
d’un	O
modèle	O
particulier,	O
celui	O
de	O
la	O
science	O
occidentale	O
contemporaine,	O
fondée	O
sur	O
l’observation,	U-MISC
l’expérimentation	O
et	O
la	O
médiation	O
technique	O
et	O
construite	O
par	O
la	O
mathématisation,	O
mais	O
de	O
situer	O
ce	O
modèle	O
par	O
rapport	O
à	O
d’autres,	O
en	O
d’autres	O
lieux	O
et	O
d’autres	O
temps	O
–	O
savoirs	O
proches	O
ou	O
lointains,	O
parents	O
ou	O
non	O
–,	O
non	O
pour	O
aboutir	O
à	O
un	O
relativisme,	O
mais	O
pour	O
dégager	O
ce	O
qu’ils	O
partagent	O
comme	O
ce	O
qui	O
les	O
différencie,	O
dans	O
leur	O
nature,	O
leur	O
visée,	O
leurs	O
fonctions,	O
leurs	O
fondements.	O
Cette	O
construction	O
critique	O
et	O
théorique	O
est	O
le	O
premier	O
enjeu	O
de	O
l’entreprise.	O
De	O
plus,	O
alors	O
qu’une	O
actualité	O
brûlante	O
montre	O
que	O
le	O
choc	O
des	O
traditions	O
et	O
l’incompréhension	O
entre	O
cultures	O
et	O
religions	O
peuvent	O
mettre	O
la	O
planète	O
à	O
feu	O
et	O
à	O
sang,	O
cette	O
enquête	O
entend	O
aussi,	O
au	O
moyen	O
d’un	O
parcours	O
historique	O
circonstancié	O
et	O
d’une	O
comparaison	O
anthropologique	O
articulée,	O
s’intéresser	O
à	O
la	O
multiplicité	O
des	O
savoirs	O
et	O
des	O
croyances,	O
sans	O
perdre	O
de	O
vue	O
l’unité	O
fondamentale	O
des	O
cultures	O
humaines	O
par-delà	O
le	O
bouillonnement	O
de	O
leurs	O
transformations.	O
Tel	U-MISC
est	O
le	O
second	O
enjeu.	O
Les	B-MISC
Lieux	I-MISC
de	I-MISC
savoir	L-MISC
procéderont	O
en	O
un	O
premier	O
temps	O
à	O
une	O
déconstruction	O
de	O
l’histoire	O
des	O
sciences	O
et	O
des	O
savoirs,	O
sans	O
que	O
leur	O
évolution,	O
leurs	O
progrès,	O
leurs	O
contenus,	O
leurs	O
hiérarchisations	O
soient	O
au	O
principe	O
de	O
l’enquête.	O
En	O
revanche,	O
le	O
changement	O
d’échelle,	O
du	O
global	O
au	O
local,	O
de	O
la	O
longue	O
durée	O
au	O
moment	O
situé,	O
de	O
la	O
discipline	O
à	O
ses	O
acteurs,	O
individuels	O
ou	O
collectifs,	O
permettra	O
de	O
faire	O
surgir	O
les	O
gestes	O
et	O
les	O
opérations,	O
les	O
instruments	O
et	O
les	O
supports,	O
les	O
savoir-faire	O
et	O
les	O
pratiques,	O
les	O
modes	O
d’interaction	O
et	O
les	O
procédures	O
de	O
validation,	O
les	O
formes	O
de	O
l’inscription	O
et	O
les	O
dynamiques	O
de	O
la	O
transmission	O
qui	O
contribuent,	O
dans	O
leur	O
articulation,	O
à	O
définir	O
ce	O
qui	O
fait	O
ou	O
non	O
office	O
de	O
savoir,	O
à	O
telle	O
époque	O
et	O
pour	O
telle	O
aire	O
géographique,	O
pour	O
une	O
société	O
donnée	O
ou	O
pour	O
l’une	O
de	O
ses	O
composantes	O
Nous	U-MISC
rejoignons,	O
dans	O
ce	O
privilège	O
accordé	O
aux	O
études	O
de	O
cas	O
localisées,	O
les	O
perspectives	O
de	O
la	O
micro-histoire.	O
Voir	O
Revel,	B-MISC
1996	L-MISC
;	O
Passeron	U-PER
et	O
Revel,	U-PER
